input,output,instruction
Who are the faculties of Department of Humanities,"Dr. Afazuddin Ahmed (Associate Professor - HoD) with specialization in Labour Economics and Social Welfare, Mr. Haren Borah (Associate Professor) with specialization in Economics, Dr. Farhana Parveen (Associate Professor) with specialization in British Fiction, Post- Modern Literature and Commuication Skills, Dr. Anil Kumar Borah (Associate Professor) with specialization in Commerce(Managment & Accountancy).",List the faculty members of the Department of Humanities.
Where can I get the syllabus of Department of Humanities?,Check out this link to download your Humanities syllabus: https://www.aec.ac.in/department/humanities/course,Provide details on where the syllabus for the Department of Humanities can be accessed.
How to contact the Department of Humanities?,Mail the hod at MS.afaz@rediffmail.com,Explain how to contact the Department of Humanities.
Tell me something about Computer Applications Department in AEC.,"The Department of Computer Applications at Assam Engineering College was formed in 1990 under the leadership of Ex-Principal Prof. A. K. Padmapati, with the approval of Ministry of Human Resource and Development. It was started with the object of promoting specialized knowledge in the field of Computer Applications. The program started under this department is Master of Computer Application (MCA), which has been designed keeping in mind the needs of the Global Information Technology Industry. In view of the world wide shortage of skilled manpower in the field of Information Technology, the Department strives to channelize talented youth of this region to this challenging and knowledge intensive field by imparting quality technical knowledge and skills in the field. A 42 lakh research project funded by Department of Information Technology in the Ministry of Communications & IT of the Government of India has been awarded to this Department in early 2009 to be executed in 24 months.",Provide an overview of the Computer Applications Department at Assam Engineering College.
Which course is under the computer applications department?,the course is under the computer applications department is MCA (Master of Computer Application).,State the course offered under the Computer Applications Department.
Who are the faculties of Computer Applications Department?,"The faculty members comprises the staff of MCA department: Dr. Subhrajyoti Bordoloi (Professor - HoD) with specialization in Distributed System, Database Technology, Dr. Jyotiprokash Goswami (Professor) with specialization in Data Mining Techniques, Dr. Maushumi Barooah (Associate Professor) with specialization in Wireless Network, Dr. Amrita Bose Paul (Professor) with specialization in Wireless Networks & Network Security, Dr. Bornali Gogoi (Associate Professor) with specialization in VLSI Design & Application of Graph Theory, Dr. Rongdeep Pathak (Associate Professor) with specialization in Computer Science, Graph Theory, Mr. Nelson R. Varte (Associate Professor) with specialization in Web Technology, Ms. Antara Malakar (Assistant Professor) with specialization in AI & Robotics.",List the faculty members of the Computer Applications Department.
What is the current intake of Computer Applications Department?,The current intake of computer applications department is 30.,State the current intake capacity of the Computer Applications Department.
Where can I get the syllabus of Computer Applications?,The syllabus for MCA under Computer Applications department: ,Provide details on where the syllabus for Computer Applications can be accessed.
How to contact the Department of Computer Applications?,Visit the MCA Department on the floor above the Students Welfare Office or Visit the MCA Lab.,Explain how to contact the Computer Applications Department.
Are there any buses provided by AEC for the students residing and travelling across Guwahati?,"There are 3 buses available at Assam Engineering College (AEC). These buses follow a set timetable, traveling between the city and AEC, with routes on both the highway side and the city side. If any of the AEC buses are not operational, a spare ASTC bus is used as a replacement to ensure continued transportation for students. There are seperate timings for both holiday and usual days.",State if buses are provided by Assam Engineering College for students traveling across Guwahati.
How many buses go to the city/highway side?,"There are two routes for the city side. Route 1 goes through Church Field (C.F), Ganeshguri, Chandmari, Guwahati Club, and finally reaches AEC. Route 2 is a shorter route that starts from Paltan Bazar and directly leads to AEC. On the highway side, there is a single route that passes through Church Field, Ganeshguri, Last Gate, Basistha Chariali, ISBT, and then reaches AEC.",Provide the number of buses traveling to the city/highway side.
What are the timings of the city/highway side bus in usual days?,"Buses from Church Field (C.F) to AEC run at 7:00 AM (via Zoo Road), 4:20 PM, 5:30 PM, 7:20 PM, 7:45 PM, and 8:15 PM. From Paltan Bazar, buses are available at 6:55 AM, 9:30 AM, 10:50 AM, 1:45 PM, 2:30 PM, 3:00 PM, and 6:00 PM. Returning from AEC to the city, buses operate at 7:50 AM, 8:30 AM, 9:00 AM, 12:10 PM, 12:30 PM (via G. Club), 3:00 PM, 4:15 PM, 6:00 PM, 6:50 PM, 7:10 PM, 8:30 PM, 8:50 PM, and 9:00 PM. For AEC to the highway, buses are at 12:20 PM and 4:15 PM.",List the usual timings of the city/highway side buses.
What are the timings of the city/highway side bus in holidays?,"From Church Field (C.F) to AEC: 5:10 PM,8:00 PM. From Paltan bazar bus stop to AEC: 7:30 AM, 10:40 AM, 2:30 PM. From AEC to City: 9:15 AM, 3:45 PM, 6:40 PM, 9:00 PM. From AEC to Highway: 12:15 PM.",Mention the timings of the city/highway side buses during holidays.
What are the last stops for the college buses on the city side and highway side?,"The last stop of the bus going through the city side is Kachari, while the last stop of the bus going through the highway side is Paltan Bazar.",State the last stops for the college buses on the city and highway sides.
Where is the last stop of the buses on the AEC side?,The last stop of the buses on the AEC side is AEC Turn Point.,Mention the last stop for buses on the Assam Engineering College side.
Is there a tracker app to track the buses?,"Yes, the tracking app used to track buses in AEC is Millitrack. It is available on the Play Store and helps monitor real-time bus locations. The password and username to login the app can be collected from any authourity or students inside the college.",Explain if there is a tracker app available to track college buses.
What are the capacity of each hostel?,"Capacity varies for each hostel, they have capacities from around 60 to 250. Hostel 1 capacity is 98, Hostel 2 capacity is 120, Hostel 3 capacity is 65, Hostel 4 capacity is 80, Hostel 5 capacity is 120, Hostel 6 capacity is 130, Hostel 7 capacity is 85, Hostel 8 capacity is 230.",Provide the capacity of each hostel at Assam Engineering College.
Last entry time for Girls/Boys hostellers?,"The last entry time for girls is 6.30 PM. For boys the last entry time is typically around 9:30 PM or 10:00 PM, though this may vary depending on the hostel rules.",State the last entry time for both girls’ and boys’ hostellers.
Are there any hostels for girls?,"Yes, there is a hostel for girls (Hostel 8).",Confirm if there are hostels available for girls at Assam Engineering College.
What are the hostel fees?,Hostel fee varies for each hostel ranging from 8000 to 10000.,Provide details on the hostel fees at Assam Engineering College.
Is the mess price included in hostel fees?,"No, you have to pay mess dues differently, it is not included in the hostel admission fee. Mess fee ranges from 2800 to 3500 according to specific hostels.",State if the mess price is included in the hostel fees.
Who are the hostel wardens?,"Hostel 1 warden: MR. ABHIMANYU KAR, Hostel 2 warden: Dr. Aroop Bardalai, Hostel 3 warden: Mr.Bhaskar Jyoti Das, Hostel 4 warden: Dr.Bimal chandra Deka, Hostel 5 warden: Dr.Sasanka Borah, Hostel 6 warden: Mr.Prasanta Kumar Choudhary, Hostel 8 warden: BORNALI GOGOI",List the hostel wardens for the hostels at Assam Engineering College.
Is there any security deposits for the hostel?,"The security deposit for the hostel is ?5000, and it is included as part of the admission process. A security deposit in a hostel is a refundable amount paid by students at the time of admission. It acts as a safeguard for the hostel management against potential damages to property, unpaid fees, or violations of rules during the student's stay. If no such issues arise, the security deposit is fully refunded when the student leaves the hostel.",Explain if there is a security deposit for hostel accommodations.
How many hostels are there in total for both girls and boys?,There is a total of 9 hostels. 8 hostels for boys and 1 hostel for girls.,Provide the total number of hostels available for both girls and boys.
Can you give any placement details in AEC,"Assam Engineering College (AEC) has a Training and Placement Cell that works to connect students with potential employers and ensure successful campus placements. AEC has a strong placement record, with students being recruited by leading companies in various sectors such as technology, engineering, management, and consulting. For more information, you can visit the official website of the Training and Placement Cell: https://placement.aec.ac.in/",Provide details about placement opportunities at Assam Engineering College.
Can you give me details on Pyrokinesis?,"Pyrokinesis is the largest 4-day college techno-cultural festival in the North East, held annually at Assam Engineering College. It is a national-level event that features a mix of technical competitions, workshops, sporting events, fashion shows, rock concerts, and other fun activities. It celebrates both innovation and creativity, showcasing the diverse talents of students. Pyrokinesis is typically held in the early part of the year.",Provide information about the Pyrokinesis festival at Assam Engineering College.
How many days does pyrokinesis last?,Pyrokinesis lasts for 4 days,State how many days Pyrokinesis lasts.
Do we have to pay for Pyro even if we are not willing to?,"For Pyro, the fee is included in the odd semester exam fees for students. Therefore, you have no choice but pay even if you're not willing to participate in the event.",Explain if students need to pay for Pyrokinesis even if they do not participate.
What is the total pyro fee?,"The Pyro fees are included in the exam fees, so the exact amount for Pyro is not specified separately.",Provide the total fee for Pyrokinesis.
In which month is the Pyro held?,"Pyrokinesis is typically held in the early part of the year, usually in February or March.",Mention the month when Pyrokinesis is usually held.
Is Saraswati puja celebrated in AEC campus?,"Yes, Saraswati puja is celebrated in AEC campus.",Confirm if Saraswati Puja is celebrated on the Assam Engineering College campus.
What is the branch for MCA?,MCA (Master of Computer Application) is under the branch of Computer Applications.,State the branch for the MCA program at Assam Engineering College.
Is there an option for Veg food in Hostel Mess?,"Vegetarian food is available in the hostel mess; however, it is recommended to consult the hostel monitors beforehand.",Confirm if vegetarian food options are available in the hostel mess.
Where is the office of the principal?,"The Principal's Office is located on the ground floor of the Chemical Engineering Department, situated opposite the main building of Assam Engineering College (AEC)",Provide the location of the principal's office at Assam Engineering College
